0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.644,0.596,0.408,0.172,0.044,-0.04,4.073431364987103,4.411790508529279,4.120715497935734,1.8551540017318642,0.0
0.848,0.536,0.44,0.536,0.1,0.028,5.956601517724024,1.5419153777309464,2.4238857907877245,0.9124160405813422,0.0
0.696,0.564,0.348,0.06,0.096,0.06,7.73009318554619,3.8768253084635136,1.0362157068092839,4.541098651103946,0.0
0.62,0.676,0.432,-0.108,-0.012,-0.008,3.8801819291645874,2.984560123933669,3.0799082510304463,5.1515889768684,0.0
0.692,0.668,0.464,0.236,0.048,-0.084,3.321864719450314,4.073941279107416,3.9771835692253665,1.6088301461385837,0.0
0.704,0.572,0.396,0.212,-0.02,0.016,5.845202858891287,2.5873215543679944,4.4824255995510836,3.030975130945916,0.0
0.496,0.34,0.196,-0.252,-0.064,-0.028,8.379632726455617,3.478342869846455,6.602558130943296,9.127648062204553,0.0
0.604,0.46,0.296,-0.508,0.064,-0.068,7.109447818748288,2.0429615032831787,4.340582922371189,8.494358941203615,0.0
0.604,0.524,0.312,0.072,-0.052,0.068,4.978771633135572,7.06293804127878,5.752221298489106,4.413460208465519,0.0
0.596,0.448,0.268,-0.016,-0.128,-0.04,6.405871230801947,5.4859868091390425,6.9789912996695715,5.9924551725552675,0.0
0.572,0.712,0.428,-0.184,0.08,-0.016,2.8850392053007456,4.74058200373564,4.036423892304899,7.720167262134636,0.0
0.536,0.592,0.36,-0.052,-0.308,0.024,3.4836046553115922,5.833148076009014,8.243895773483601,4.642518928473978,0.0
0.412,0.804,0.352,-0.004,0.184,0.012,2.181874839059847,8.078894046597835,3.1102165589913495,5.872510147727163,0.0
0.496,0.948,0.484,0.024,0.132,-0.076,-0.30421206112812094,5.693768710440481,3.905954344779817,4.882487503817884,0.0
0.636,0.448,0.332,0.064,-0.012,-0.084,6.520636416936103,4.533170516012594,5.780084856015367,3.186466382835682,0.0
0.572,0.476,0.312,-0.008,-0.168,0.04,5.109857550398583,4.2888756328679385,7.060677446142421,4.941651385746918,0.0
0.652,0.684,0.416,0.108,-0.036,0.024,3.8903342409778494,5.331780377354949,5.723987036727299,0.6525132761153856,0.0
0.612,0.46,0.24,-0.212,-0.112,-0.076,5.107296390386219,4.419417589383511,6.8970715027503156,7.040660838502833,0.0
0.468,0.836,0.36,0.016,-0.524,-0.076,0.16835605597644765,8.170410126439357,6.016743382899334,3.6131652460841,0.0
0.416,0.656,0.288,-0.108,-0.048,0.004,4.606010579546993,6.762310956116345,4.792298080389689,6.8372080723517055,0.0
0.576,0.388,0.212,-0.108,-0.172,-0.04,4.9214160829520495,4.561364416064577,8.618975012018542,6.3455707700330635,0.0
0.52,0.392,0.208,-0.168,-0.064,0.024,8.098464100167467,3.5788198861765235,5.149067540562519,6.500448223641476,0.0
0.408,0.512,0.272,-0.072,-0.032,-0.008,5.387538525904208,7.469134676181282,4.566981362613649,8.984125269262421,0.0
0.532,0.376,0.188,0.02,-0.036,-0.016,6.829899117419686,6.449439628999408,7.216589560333393,2.6043400647484822,0.0
0.564,0.572,0.264,-0.064,-0.028,-0.084,5.201970560675604,4.7311999981676385,5.408264612482075,5.873353874031222,0.0
0.66,0.524,0.368,-0.076,0.088,0.004,6.662602654554092,3.611422682344857,2.1826834907779373,4.286550668394325,0.0
0.42,0.684,0.272,-0.008,0.248,0.032,3.953337663790504,8.617833026268832,2.394550652832031,7.299157017555354,0.0
0.616,0.624,0.368,-0.048,0.068,0.028,4.850917011274383,4.206756347372132,3.1392215262781225,4.8298613269497555,0.0
0.652,0.556,0.352,0.176,-0.04,-0.064,6.5878351830338095,3.6299174492660877,3.8157959519738296,3.5140696126040427,0.0
0.448,0.416,0.232,-0.004,0.116,-0.056,8.622361189220095,6.823410826087111,0.5455745659240625,4.853643485857012,0.0
0.504,0.604,0.236,-0.296,-0.092,-0.012,3.864195914489569,3.052983631793845,5.575548001122595,10.703876873373883,0.0
0.364,0.544,0.14,-0.124,-0.028,0.024,6.058498863625017,6.943959730107642,3.9727490517575887,6.387442570252228,0.0
0.42,0.572,0.24,0.02,-0.012,-0.008,4.499211351835736,6.332807163874939,4.395568879646989,5.874221168018041,0.0
0.484,0.548,0.256,-0.04,0.008,-0.096,5.2925621850281575,7.0948682447226465,3.5492190060380624,4.002878433075072,0.0
0.52,0.616,0.32,0.02,0.152,0.052,5.401260259127607,7.1813208613975075,2.7088502915746857,5.116889054417337,0.0
0.616,0.644,0.364,-0.052,0.036,-0.08,4.425012270675742,3.1736024667397533,4.103295412757077,4.98710040049761,0.0
0.396,0.496,0.188,-0.016,-0.02,-0.02,6.283106307059878,8.853805737546107,5.735402044811421,6.187937661299523,0.0
0.692,0.552,0.348,0.14,-0.188,-0.024,4.705520100720066,4.429949367471596,7.510077359660873,-0.059543636202697314,0.0
0.464,0.848,0.376,-0.016,-0.244,0.012,1.0559748559561268,7.509252588478286,5.331397722454488,3.977263027444942,0.0
0.576,0.628,0.436,-0.024,-0.36,0.0,2.4953694407712783,5.967239630607651,8.190127048834043,5.3779419003363085,0.0
0.524,0.552,0.348,-0.112,-0.16,0.016,5.146801648251557,4.575002272300752,7.045981521758369,7.1344356635516775,0.0
0.816,0.58,0.5,0.376,-0.124,-0.068,4.709161673613615,1.6591772504941242,5.944438839127146,2.456676958199419,0.0
0.792,0.424,0.288,-0.156,-0.068,0.0,6.513923465699444,2.4190873822522514,6.081491545201013,5.076065465955524,0.0
0.592,0.44,0.256,0.108,0.012,0.104,7.313533501859466,4.613808008032242,2.995126769236571,3.286678841245372,0.0
0.388,0.532,0.152,-0.12,-0.044,-0.004,5.0328322281927065,7.217916026947767,4.459390180011696,8.423672320053502,0.0
0.7,0.468,0.28,-0.592,-0.108,0.044,5.3256354479833075,0.9917447385816338,6.189574686013983,7.41983316178934,0.0
0.544,0.452,0.244,0.016,-0.084,0.036,7.339235620088693,7.1518842940252565,5.458632247222472,3.3005317617305723,0.0
0.404,0.476,0.144,-0.028,-0.192,0.044,4.033432111123982,8.108233318382563,7.967800104685816,4.195441898351282,0.0
