0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.012,0.396,-0.012,-0.204,-0.14,0.148,0.026,0.078,0.048,-0.062,0.302,-0.116,0.022,-0.422,0.02,0.016,-0.994,-0.014,-0.02,-0.454,0.09,-0.058,0.214,-0.016,0.014,-0.14,-0.018,0.024,-0.358,0.002,-1.4943523183813099,3.7318449751146865,3.153043314780927,6.480054797287568,6.86994325546336
1.0,1.0,1.0,0.146,-0.094,0.044,-0.14,-0.506,0.214,0.002,-0.008,-0.114,-0.022,-0.398,0.04,0.036,0.542,-0.006,-0.02,0.694,0.002,0.02,-0.652,-0.028,0.036,-0.33,-0.042,0.016,0.108,0.044,-0.02,-0.156,0.032,-0.5458380104108673,4.0014352438315886,7.5423777857449545,4.476846758977631,6.575794429372218
1.0,1.0,1.0,0.794,0.86,0.746,0.278,0.528,0.194,-0.206,0.138,-0.068,-0.084,-0.014,0.198,0.19,0.142,0.688,0.462,0.502,0.816,0.3,0.72,0.396,-0.202,0.786,-0.18,-0.73,0.516,-0.366,-0.948,0.09,-0.086,-2.341764628541619,-3.162412206072478,0.6898452510109863,1.706269958904334,4.42030897345223
1.0,1.0,1.0,0.314,0.49,0.22,-0.09,-0.07,-0.028,0.076,0.054,0.298,0.142,0.472,0.166,-0.154,0.31,-0.088,-0.174,-0.13,-0.004,-0.074,-0.26,0.038,0.026,0.026,-0.044,-0.016,0.072,0.012,-0.034,-0.204,0.03,0.5733280308004258,1.6731614129747219,1.5284952743265965,2.695948613681609,7.567786729031573
1.0,1.0,1.0,0.054,0.544,0.018,-0.274,-0.2,0.054,-0.024,-0.618,0.026,-0.022,-0.284,-0.118,-0.014,0.002,-0.008,0.038,-0.204,-0.03,0.044,-0.474,-0.018,0.002,-0.24,-0.01,-0.026,0.462,0.0,-0.038,0.97,-0.04,-0.15454101037957257,3.5655204068593624,4.1111626910125105,8.323729292245677,3.7384344297746868
1.0,1.0,1.0,0.2,0.004,-0.024,-0.182,-0.514,0.2,-0.046,-0.044,0.062,0.026,-0.048,-0.018,-0.09,-0.104,0.006,-0.062,0.244,-0.046,-0.008,0.166,0.002,0.022,-0.122,0.012,0.026,-0.082,0.016,-0.01,0.056,-0.034,1.0228770973316372,2.7088469316019927,6.756751367348384,4.97491169468341,5.367092666298881
1.0,1.0,1.0,0.118,0.276,0.066,-0.518,-0.094,0.168,0.014,0.032,0.07,-0.37,0.044,-0.046,-0.446,-0.026,0.0,0.798,-0.024,-0.03,0.676,-0.082,-0.066,-0.386,-0.034,-0.024,-0.174,-0.016,-0.006,-0.092,-0.024,0.0,3.5133398280051873,-0.7502999495442051,3.3034415648119304,6.04736977509188,6.436864315623382
1.0,1.0,1.0,0.186,0.42,0.09,-0.494,-0.602,0.324,-0.372,-0.882,0.418,0.088,-0.194,0.006,0.198,0.55,0.244,0.078,0.476,0.106,-0.022,0.02,-0.038,-0.038,-0.256,0.134,-0.042,-0.1,-0.058,-0.03,-0.034,0.004,-0.16855612729708547,1.447734879148688,6.143592357369249,6.780967496673918,2.0427875512046416
1.0,1.0,1.0,0.102,0.27,-0.044,-0.876,-0.378,0.382,-0.14,-0.308,0.052,0.706,0.0,0.014,0.202,0.15,0.048,-0.454,0.03,-0.052,-0.172,-0.022,0.038,0.15,0.028,-0.01,0.074,0.006,0.016,-0.008,-0.024,-0.016,2.024500310710419,0.2077586424112523,6.579280210804972,8.546859244159158,2.061858080813791
1.0,1.0,1.0,0.018,0.802,0.02,-0.404,0.292,-0.136,0.004,-0.216,-0.02,0.098,-0.338,-0.236,0.102,-0.142,0.04,0.034,0.184,0.114,-0.026,0.214,-0.016,-0.062,-0.162,0.008,0.048,-0.584,-0.04,0.082,-0.948,-0.094,-1.5258122502024216,2.1652053548438044,2.03561054968492,8.328740853947604,3.6774487961617304
1.0,1.0,1.0,0.308,0.404,0.164,-0.2,-0.068,0.072,-0.232,-0.13,0.074,-0.008,-0.052,0.052,0.012,-0.05,-0.002,-0.074,0.014,-0.02,0.012,0.018,0.022,0.038,-0.014,0.048,0.056,-0.068,0.056,-0.006,0.038,-0.012,2.792839088845892,2.1661887197227374,3.599728148458107,5.112427425706688,3.822715266085109
1.0,1.0,1.0,0.126,0.148,0.046,-0.284,-0.262,0.798,0.21,0.238,0.4,-0.648,-0.338,0.294,-0.808,-0.972,0.792,0.298,-0.08,-0.002,0.25,0.264,0.934,0.064,-0.142,0.022,0.866,0.582,0.656,0.302,0.864,0.254,-2.214950875188017,-0.056254862849522524,4.2529227119025945,4.751626677597686,8.09470116559482
1.0,1.0,1.0,0.516,0.042,-0.018,-0.006,-0.166,0.04,-0.004,-0.004,-0.004,0.19,-0.098,-0.048,0.196,-0.028,0.04,0.08,-0.02,-0.028,-0.124,0.114,-0.074,-0.176,-0.016,-0.076,-0.028,-0.03,0.034,-0.038,-0.026,-0.024,3.260796907434136,1.3429472594028014,6.312769158240548,1.7804347752984606,6.44008927120326
1.0,1.0,1.0,0.286,0.034,0.052,-0.386,-0.234,0.352,-0.078,0.032,0.042,-0.086,-0.08,0.03,-0.828,-0.086,0.09,-0.506,0.054,-0.008,0.564,-0.03,0.002,0.544,-0.03,-0.03,-0.002,-0.032,-0.014,0.376,-0.026,-0.054,2.8478082781262932,-0.4630079230708508,6.082756740541255,4.533998922603624,6.517424268600697
