0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,0_10,0_11,0_12,0_13,0_14,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,decay_0,decay_1,decay_2,decay_3,W_0,W_1,W_2,W_3,J_0,J_1,J_2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.024,0.008,-0.04,-0.004,0.012,0.02,0.084,-0.068,0.036,-0.028,-0.036,-0.032,-0.056,0.064,0.024,4.0014945537724484,5.874089143356895,4.708541582968891,6.333968081336893,5.9448512803334275,5.322225434048433,3.62370357354438,5.481350383709849,4.755739371442125,5.7636917188843295,5.501202983346158
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.004,-0.012,-0.04,0.02,0.048,0.056,0.036,0.02,0.056,0.08,0.052,-0.024,0.068,0.028,-0.072,5.303097197438779,3.699833291690279,5.820970228113245,5.316897261896142,5.024247019015213,5.505659914305808,3.213979718617305,5.567408538950894,5.603461856919783,5.5117485648605715,4.935907859067815
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.012,-0.008,-0.028,0.04,-0.012,-0.024,0.004,0.028,-0.032,0.028,-0.016,0.052,0.04,-0.06,0.024,4.6887528518909285,5.1843820709401625,5.670016025052937,4.595413721566173,4.8908166607344175,3.537042102478388,5.397349646354015,3.882946736759746,4.4313470690662875,4.929214654064067,6.049938898871847
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.04,0.044,-0.068,0.04,0.008,-0.028,-0.028,-0.044,0.076,-0.064,0.008,-0.004,0.004,-0.016,-0.088,5.001660939878369,5.514947244502883,5.229010896457996,5.565801816383285,4.698659917303246,4.590645615985543,4.442645156379984,5.377228295157886,5.516092496030571,4.948255487729406,5.206995397761611
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.044,-0.004,0.0,0.024,0.06,-0.02,0.016,-0.028,0.08,-0.008,-0.044,-0.06,0.048,-0.056,0.004,4.846167834383371,4.3471642921959734,3.606742075102179,5.115661790462947,5.4579966515757095,4.140412042177307,5.460427516722321,5.292918790624023,3.6465674999995867,3.1690901946956327,4.345706482166032
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004,0.016,0.068,0.012,-0.016,-0.036,0.072,0.072,-0.028,0.016,-0.076,-0.02,0.0,0.028,0.04,3.4385521478343675,3.743854454866724,5.247548614988322,5.563141571096181,5.900409352841397,6.361891373444497,4.121114782372436,4.897012383768345,5.223675183131852,4.227175688834228,4.663923619401456
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02,0.024,0.012,0.072,0.052,-0.08,-0.012,-0.036,-0.072,0.068,0.008,-0.116,0.008,-0.02,0.0,5.626653341615461,3.7563475004106417,5.140090096640851,2.7827361673785194,5.4983616065283,6.138521027036553,5.393117543405231,3.799402585188981,5.079329657452872,6.273081455447385,4.064601732296809
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016,0.036,0.02,-0.024,0.008,0.028,0.052,0.056,0.0,-0.036,-0.068,-0.064,0.048,0.028,0.02,5.095263647185331,4.49869922835861,5.887001694515923,4.908965850186876,5.788435262243673,4.531502873406544,4.89151652148828,3.8068820006713655,3.944181503590724,2.373289667594904,4.611893864926959
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024,0.02,0.116,0.024,0.056,-0.052,-0.068,0.004,-0.02,0.008,0.048,-0.004,-0.044,0.024,0.048,4.363640789628958,4.290405620477262,5.520773227528549,6.137270105141633,4.74860152424246,5.547869172930031,4.205634738775163,4.874442588271425,4.0219957749038935,5.134451139555925,4.285734328307953
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.024,-0.068,0.012,0.056,0.048,-0.1,0.02,-0.072,-0.016,0.092,0.02,0.064,0.016,-0.044,0.052,4.962263189412453,5.294543665348212,5.251877964037034,4.671740280982908,5.368746339958155,3.0034478898373997,6.201649062376343,6.541961907980076,6.199411631251875,5.312887509461215,5.436040211783046
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.056,-0.032,-0.04,0.08,-0.088,0.0,-0.064,-0.044,0.004,-0.012,-0.036,0.06,-0.012,-0.012,0.052,6.032249358053643,4.89325842494297,5.469974237471002,4.539482028499984,3.7799793146880996,4.018961243253324,3.062756053337744,5.948013682558237,7.3392540714026975,2.3362933659022342,6.724456317050041
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.024,-0.016,0.024,-0.008,-0.056,0.056,0.032,0.012,-0.02,0.052,0.012,-0.052,-0.02,0.076,-0.012,5.123645961771311,6.299128814965989,4.992317623933277,4.98322371203003,5.941713785204528,4.297633333298008,4.720125286313941,4.321198434529602,6.380836713336601,5.937300646470726,6.247405048523844
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.052,0.016,0.068,0.008,-0.028,0.072,-0.012,-0.012,0.032,0.084,0.032,0.036,-0.04,-0.02,-0.032,5.339720418718473,5.547757676538501,5.10282903305234,3.9989261086652155,3.3328967642115312,5.675412157146771,7.1942572632627435,5.870616965556732,5.527710431172489,6.013630105703156,4.539807008833346
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,-0.088,-0.016,0.048,-0.008,0.048,-0.008,0.044,0.02,0.012,-0.028,0.004,0.012,0.02,-0.084,3.9338701875564066,6.346021600950687,5.958196230691337,5.3009762820576185,4.062611216524176,4.929058348781861,4.997407275422488,4.634254506630007,4.608649277577181,4.688887621089173,5.8494124474567775
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.004,-0.016,0.052,0.044,-0.024,-0.068,-0.008,-0.012,0.048,-0.052,-0.008,0.0,0.004,0.048,-0.012,3.863680203424518,6.040236515909882,7.262704242553701,3.624752647386351,5.331581688051855,4.4997104018540535,4.809882926312866,4.8307735115519455,4.932832961253805,5.89105846061369,4.981166143856656
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.072,-0.008,0.08,-0.036,0.052,0.028,0.028,0.032,-0.024,-0.008,-0.008,-0.004,-0.02,0.068,0.044,5.12004328119803,3.479724139115742,5.163975751868407,6.294981730580109,6.410862808223867,4.962210731785684,4.522814755302062,6.184087648333842,5.495145368782177,5.7632252637591295,5.349036886169284
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.076,-0.04,0.012,-0.02,-0.032,-0.044,-0.008,-0.028,0.056,-0.1,-0.032,0.016,-0.028,0.048,-0.012,4.807216160283609,5.661643295588534,5.056395188121956,6.616310408175529,3.2631838849175336,5.316049867560467,3.4110478088541796,4.819236770863268,4.925885010492131,4.819721821771624,3.828063629754875
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.032,0.004,-0.068,-0.084,-0.02,0.0,-0.032,-0.06,-0.036,-0.008,0.016,-0.008,-0.04,-0.028,-0.028,5.820310795246671,5.370442513922723,5.19983320360702,4.27434108695021,4.346180003764079,6.037117124098466,5.2324195646127585,5.367514423542309,4.63775720701971,6.355869703953635,3.531785160660126
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.036,-0.004,0.0,0.004,-0.008,0.136,-0.068,-0.032,0.108,-0.028,-0.016,-0.036,-0.104,-0.096,0.012,6.058381420909376,3.5878128488736163,4.606342515125068,4.5614664765107555,3.027871738639038,5.086392528660863,5.77721593657637,5.817084947929833,5.095295025800532,3.7162663088819716,5.152118826095352
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.02,-0.056,-0.052,0.016,-0.028,-0.024,-0.004,-0.016,-0.028,-0.032,-0.012,0.032,-0.012,0.008,-0.036,4.280901143548986,3.78062110573335,5.431595387443792,5.281494204103826,3.1290559617931484,4.788052289623946,5.438090599341526,4.033227151873344,3.581107278444138,5.368844539727405,3.3542130066592617
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.012,0.036,-0.056,0.0,0.028,-0.004,-0.04,-0.096,-0.044,0.068,0.04,-0.024,0.068,-0.036,-0.056,4.471325194195037,7.243633383743102,6.220104639300866,5.404403811932734,5.464434443026649,4.177413299705181,4.529225603111186,4.036336199238603,4.511994708290446,4.062886451159534,2.9596217892460044
