0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.42,0.448,0.188,-0.088,-0.06,0.044,4.68216443589715,6.257037909708863,5.861529254454732,4.087221463959013,6.3787518976901705
0.324,0.38,0.2,0.004,0.076,-0.024,4.742987709895411,6.413852494476552,5.8610274619821086,6.327609658932992,8.84213500210576
0.544,0.464,0.208,-0.012,-0.016,0.012,5.095685845001859,4.261318959320153,3.431320593804461,3.568097901184477,6.053146342537481
0.32,0.448,0.176,-0.112,-0.116,-0.02,6.013708482080418,7.107456642003984,8.006513512047354,7.886077252865712,3.0890530101776106
0.628,0.524,0.352,-0.18,-0.116,0.024,4.696281151961603,3.2636674115281012,5.539559024899094,4.382655684385076,2.9943380264126587
0.484,0.688,0.3,-0.108,-0.036,-0.032,4.182029369199286,5.8453920008932165,4.229403544264361,7.4130055069326115,0.6628336494127458
0.312,0.316,0.06,-0.048,-0.004,0.028,5.26266772307281,6.430440157836631,4.947221980496989,5.5829924239848125,7.826273084202786
0.424,0.396,0.092,-0.172,-0.08,0.004,5.485255789335048,4.418819304909615,4.263034652401378,5.297845681000508,6.471292120866976
0.7,0.328,0.268,-0.124,-0.064,-0.004,8.505556810076547,2.6937544467557966,7.370492475056608,4.0073200194531,3.615014493521267
0.48,0.488,0.16,-0.092,-0.172,0.016,3.862610413894731,5.5566916217742,6.367262322244667,5.382317805661509,4.631392852731163
0.892,0.688,0.628,0.012,-0.028,0.008,2.8463355265485,-0.275096286485228,2.1399735239589295,1.9969545572617498,4.470186755412456
0.352,0.508,0.164,-0.012,-0.072,-0.036,6.6270987712747464,7.644990130010287,4.179898825159938,4.295730092068376,4.4878649629069445
0.416,0.564,0.276,-0.124,0.048,0.012,5.954925840213007,6.600001098310697,1.9800931262580939,6.031592204052997,4.851185668297118
0.276,0.576,0.14,0.032,-0.168,-0.032,1.703480442607134,7.744531245639381,4.789121615224855,6.525915481988257,7.309018365115255
0.328,0.492,0.196,-0.076,-0.132,0.064,2.8979188418648203,7.664684887031299,5.247954819713826,6.043353562921332,6.204528690216444
0.424,0.34,0.124,-0.004,-0.008,-0.076,6.306183517779193,5.529176601512483,6.13181015943025,4.557297393409399,5.745513296282594
0.38,0.692,0.264,-0.076,-0.212,0.056,1.5229681872035332,8.098038445974813,4.142275557349889,5.818871712945191,4.9015583741439395
0.336,0.26,0.068,0.044,-0.012,-0.04,10.251487700989895,3.6498287689128848,3.3028734122796917,6.399744622084658,11.35372510874798
0.652,0.508,0.328,-0.352,-0.032,0.096,6.202819022778062,2.0035516581339485,3.527178746407647,4.515536292711317,4.1879380691093075
0.472,0.528,0.28,0.008,-0.188,0.044,4.25826731891185,7.243610880632264,6.036919618897661,5.4859303439256895,2.829884883866267
0.524,0.708,0.408,0.012,-0.232,0.068,1.906016921998546,4.87028816309446,5.8797458979105395,3.6388321643291826,0.4471250439188976
0.468,0.424,0.204,-0.064,-0.108,0.044,3.429681509411277,5.373375334702823,7.364145999015358,5.19503047961327,5.806698240410107
0.364,0.488,0.26,-0.06,-0.04,0.052,6.950720621747729,6.4784285884037445,0.5299598516950672,5.242199692374985,5.7532442710930045
0.204,0.348,0.04,0.032,-0.044,-0.052,4.472682867804591,7.047833654320897,7.644646527936939,8.524347615731125,7.808085850252327
0.664,0.48,0.272,-0.204,-0.076,0.064,4.580478392863182,2.5450244082000886,4.844353427748046,4.744152875767119,3.3776136743581024
0.556,0.56,0.308,-0.252,-0.636,0.2,-0.24619239181977992,3.3462730817390054,7.7530011174948115,4.685514308897523,4.376406038852092
0.404,0.612,0.232,-0.028,0.14,0.032,4.956921398532065,6.043010768954865,-1.0237084368270368,6.555340002470141,4.093425049281866
0.432,0.308,0.164,-0.076,0.056,0.092,5.559537115105568,4.477020642469004,6.621425157259265,4.619080898234227,6.760482476566808
0.592,0.616,0.36,-0.22,-0.18,0.088,4.104486990954948,2.6774178289356514,4.92438112475982,4.195024241391235,5.123462153372921
0.34,0.392,0.14,-0.06,-0.076,0.048,5.135434655769275,6.3457902348626085,6.703634345477955,5.206938066455859,6.9148814098624936
0.672,0.416,0.32,-0.004,-0.128,0.028,3.424426211342003,2.2043648024363747,7.374048143865852,3.0729292990165367,4.581639988335524
0.804,0.452,0.344,0.304,-0.116,-0.068,5.434136838504898,2.6782806818018647,6.471835920314666,0.3773550546417317,1.4814937856993948
0.324,0.444,0.152,-0.016,-0.08,-0.072,5.676495987889798,7.969642694882372,4.077956306909336,6.0456394814452015,7.0064394407642645
0.368,0.208,0.088,-0.04,-0.008,-0.008,7.263561385996406,5.278076935111869,9.135811584456558,7.5449731105228555,4.9820112983528215
0.692,0.364,0.216,-0.168,-0.044,0.06,4.3015488089054426,1.7913077622801028,7.68173444287037,3.4341229226712837,5.484708710373008
0.412,0.428,0.224,-0.06,-0.124,0.08,5.879562760695426,5.449386542815223,4.106185817969846,5.54971773115774,6.057099456797627
0.304,0.612,0.196,-0.052,-0.3,0.016,2.333234985250412,6.923005182981579,5.953052054162955,7.34183775113649,4.764544794016639
0.46,0.332,0.152,-0.072,-0.14,0.068,4.400840596045029,4.7450001303838665,6.682743936548265,5.225861043891702,5.4828990079542
0.528,0.732,0.412,-0.076,-0.14,0.12,0.9483146908959004,3.8088294301718753,2.6042700726078123,4.887616273188057,6.346053482386803
0.216,0.424,0.032,-0.072,-0.08,-0.016,5.326176229883253,6.645200384957972,6.763494636055217,10.168052326835092,3.3177331271273065
0.444,0.404,0.232,-0.252,-0.136,0.108,5.134036755502979,3.495313145686885,7.637502292738977,8.733975557201656,1.0149759386639206
