0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.0312,-0.0244,0.0028,-0.0004,-0.0036,0.012,5.491801821323596,1.900118952193382,7.779468328163164,5.233825561893661,3.530392542399358
1.0,1.0,1.0,0.0188,-0.0084,0.02,-0.0244,0.0088,0.0084,2.771336740669845,3.4459926497758513,1.4188910341323542,5.418947215826647,0.9981548756045067
1.0,1.0,1.0,-0.0932,-0.0172,0.244,-0.978,0.8684,-0.8864,-0.30415430254299025,-0.8254819003419915,7.577248668644519,5.87812450685609,4.236628191400831
1.0,1.0,1.0,-0.004,0.0036,-0.006,0.0068,0.0136,0.0132,3.664626732502784,4.318982154973581,5.020763747814241,8.136916261582416,4.4160656850121525
1.0,1.0,1.0,-0.0156,0.0276,0.02,-0.012,-0.0232,0.016,4.2471054822823175,4.467327450047409,7.892326260317901,2.7869207877715807,2.501853589402944
1.0,1.0,1.0,0.0212,0.0588,-0.0152,-0.0104,0.002,-0.002,2.3325497307085556,5.138077663860767,7.391609558466936,4.549648775923915,6.154259427709515
1.0,1.0,1.0,0.0192,-0.0216,-0.008,0.0044,-0.2732,0.0072,-1.6706435864311349,5.106199393865144,5.132857193308401,9.684934055803673,4.091407835320007
1.0,1.0,1.0,0.0148,0.0184,-0.002,-0.002,-0.0292,-0.0024,1.919905176762794,4.882411836968872,6.775741739511819,2.864937909387378,3.7627624165046383
1.0,1.0,1.0,0.1356,-0.0976,-0.0052,0.0084,-0.1612,0.024,0.9617446890360513,2.0843963882777645,1.7757762877035153,8.402013002064006,0.9244801583856157
1.0,1.0,1.0,-0.7596,0.0784,-0.0708,0.2044,-0.0144,0.0036,3.2547843186964083,-0.23329689388898034,8.119825830601561,3.469422445959677,7.359273955737312
1.0,1.0,1.0,-0.018,0.0116,-0.004,0.0756,-0.0324,0.0032,4.213252912219941,1.3947224299382348,1.7030533472933578,4.187932643520418,4.540371346192161
1.0,1.0,1.0,-0.0104,-0.0048,0.0216,-0.0004,-0.0064,0.0076,3.7109302999747817,3.7677874780528864,9.126718978894324,5.234872833725991,2.847602250813106
1.0,1.0,1.0,-0.004,-0.004,0.0008,-0.0036,0.0184,-0.022,4.573726423210277,5.701593051306917,2.1092917844057952,5.518394240035707,7.147851495175539
1.0,1.0,1.0,0.0092,-0.006,0.0088,0.0352,0.7344,0.0264,-0.7692550185080442,3.8829959290226386,8.542972891145858,3.7271457515550948,3.854291245767228
1.0,1.0,1.0,0.0216,0.0004,-0.0252,0.0076,-0.0108,-0.0096,2.938705954175434,4.683512769470062,5.863991394299112,7.3330941639101965,4.153286591695439
1.0,1.0,1.0,0.1684,-0.0168,-0.03,0.084,0.1584,0.0112,1.0571713092673565,0.4477427613747147,3.566824629744297,2.708553787613923,4.9306576218863105
1.0,1.0,1.0,-0.262,-0.0724,0.164,-0.5036,-0.0576,0.0308,1.9681195462039147,-2.187578503932847,6.123472213084508,6.234243386740905,4.72929547134187
1.0,1.0,1.0,-0.014,-0.0024,-0.0084,0.026,0.0044,-0.024,4.521899234954827,4.531819114506748,2.6243332234997014,4.21021830081767,5.627417429239409
1.0,1.0,1.0,-0.0072,-0.016,0.0056,0.0084,-0.0144,0.0044,4.834658740598476,6.634975085000217,4.785078884867294,5.798130450407803,6.468246249188321
1.0,1.0,1.0,0.0272,0.1736,-0.0016,-0.0044,-0.0044,-0.0032,2.235340716550156,2.989755886655817,7.630874392399994,5.7691546711186135,9.035540121844253
1.0,1.0,1.0,-0.0116,0.0076,-0.0032,0.9916,0.0288,0.0276,6.086117003488932,-0.43303098290757314,7.67399307252184,4.118468420163837,3.8647955085736765
1.0,1.0,1.0,0.0324,-0.0048,-0.0316,0.014,-0.0276,0.0032,3.356969600896752,2.943771251843406,7.464463498986254,2.886006421594267,4.384453465628045
1.0,1.0,1.0,0.0964,0.0104,0.0036,-0.012,0.0052,-0.0052,2.694284517483276,2.08008602880169,2.7163109236408007,1.9294379289136327,5.169375850669802
1.0,1.0,1.0,0.0128,0.0148,-0.0212,0.0036,0.0096,0.0052,9.34269793705607,7.36472982671699,2.8515171410447504,7.734719321914227,1.488466511543686
1.0,1.0,1.0,-0.1188,-0.2364,0.0304,-0.186,0.038,0.0064,1.4961306549600113,0.9377823873483631,3.6356275464271475,2.758285874590153,7.102164782882869
