0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.322,0.176,0.062,0.064,-0.052,0.028,0.018,-0.042,-0.008,-0.024,0.068,-0.068,0.052,-0.02,0.008,0.03,-0.03,-0.016,-0.018,-0.028,0.03,-0.006,0.004,0.026,0.03,-0.024,0.026,-0.032,-0.022,-0.026,5.397780425836117,4.7330574508332495,2.7204314256316673,2.064423185099024,5.806257118937707
1.0,1.0,1.0,-0.022,0.178,-0.04,-0.144,-0.182,0.118,-0.03,-0.046,-0.016,-0.094,-0.024,-0.042,0.016,-0.1,0.004,0.012,-0.026,0.002,0.036,0.05,0.022,-0.024,-0.024,-0.004,0.008,-0.008,-0.004,-0.012,0.052,0.004,2.9607995030904624,2.9260998223641046,4.071701446416942,6.571923143636458,7.10869868889897
1.0,1.0,1.0,0.094,-0.006,0.012,-0.086,-0.1,0.042,0.024,-0.062,-0.01,-0.004,-0.034,0.046,0.02,-0.006,-0.034,0.01,-0.014,0.032,-0.054,-0.056,0.014,-0.048,-0.002,0.07,0.004,0.018,-0.01,-0.014,0.022,-0.004,6.097673008931736,7.212878771704889,6.318067681926823,4.221504143080259,6.5859941800118165
1.0,1.0,1.0,0.454,-0.034,-0.02,-0.064,-0.062,-0.034,-0.036,0.04,-0.012,0.172,0.02,0.048,0.16,-0.014,0.046,-0.032,0.036,-0.008,-0.118,-0.014,0.016,-0.05,0.016,0.098,-0.004,0.03,-0.022,-0.094,-0.006,-0.032,5.32432629691929,1.6746203599586074,7.306142792881346,2.039717633380346,6.524439150893219
1.0,1.0,1.0,0.206,0.222,0.116,-0.114,-0.834,0.136,-0.198,-0.48,0.118,0.024,0.486,-0.002,0.012,0.47,-0.01,-0.034,-0.168,-0.062,0.014,-0.29,-0.004,-0.05,-0.016,0.01,-0.042,-0.038,-0.02,-0.06,-0.11,-0.078,0.12976889290282756,4.366975910926535,7.4968793425342755,5.531932286804206,2.255457297853726
1.0,1.0,1.0,0.088,0.01,-0.006,-0.032,-0.114,0.034,0.012,0.008,-0.04,0.058,-0.08,0.014,-0.022,0.004,-0.05,-0.002,0.026,-0.056,0.012,-0.016,0.036,0.044,0.04,-0.032,-0.016,-0.002,0.002,-0.046,-0.046,0.04,4.497905908932274,6.218396943281041,6.760477717080658,4.740558676024504,6.903189868373321
1.0,1.0,1.0,0.51,0.284,0.166,0.156,-0.028,-0.004,0.028,-0.022,-0.03,-0.076,-0.056,0.064,-0.126,0.008,-0.038,-0.008,-0.062,0.07,-0.04,0.006,-0.026,0.002,-0.004,-0.014,-0.036,0.038,0.006,0.016,-0.044,-0.028,5.562635009605206,2.9163966490314452,3.5033659879685097,1.8888862487785545,3.0226533511228713
1.0,1.0,1.0,0.148,0.222,-0.018,-0.09,-0.106,-0.024,-0.038,-0.036,-0.038,-0.01,0.064,0.026,-0.02,0.004,-0.04,-0.03,0.032,-0.018,0.026,0.018,-0.064,-0.008,0.032,0.04,0.018,-0.028,0.006,0.044,0.022,0.054,4.456055102003232,5.859262021306285,4.461440088666964,4.298523914736804,5.040134473216831
1.0,1.0,1.0,0.032,-0.122,-0.026,-0.064,-0.116,0.156,0.038,-0.192,-0.01,-0.066,-0.282,0.008,0.004,0.318,-0.01,0.008,0.038,0.042,0.048,0.108,0.012,0.01,-0.088,-0.006,0.054,-0.124,0.026,-0.006,0.052,0.01,1.2883066424993177,4.091320957499517,6.831743286615815,4.860727060992787,9.325934936497024
1.0,1.0,1.0,0.032,0.314,0.002,-0.038,0.014,0.024,-0.044,0.002,0.022,-0.036,-0.048,0.056,0.052,-0.034,0.006,-0.004,-0.03,-0.014,0.018,0.018,0.044,0.004,0.05,0.042,-0.016,0.014,-0.006,0.004,0.014,0.006,6.5946630324658235,8.604902511905372,1.7705010975801203,5.914657361385367,3.101608580780378
